partner_name,partner_type,partner_category,partner_logo,story_title,story_description,story_url,date
ACT Commodities,contributing,,ACT.png,Southeast Asia carbon markets will find an equilibrium,Stability in more mature carbon markets such as in the European Union took over a decade to cultivate. Budding Southeast Asian carbon markets should leverage the lessons learned from these countries in order to make a system that works for the region's unique attributes.,ACT-story.pdf,2022-11-07
Adaro Power,supporting,,Adaro.png,,,,2022-11-03
ASEAN,contributing,,ASEAN_BAC.png,Unlocking Southeast Asia's potential to help meet the global net zero challenge,"The economic, environmental and social benefits of supporting regional economies. ",ASEAN.pdf,2023-06-06
ASEAN ,managing,,ASEAN_BAC.png,,,,2024-01-01
Bank of Montreal,contributing,,BMO-CM.png,The voluntary carbon market: international market of mystery,"Analysis of the key attributes of the voluntary carbon markets and risk factors, and why these markets need to deliver high-integrity products to realize growth.",BMO-story.pdf,2022-10-27
BloombergNEF,contributing,,bnef-logo.png,10 drivers that will move the carbon markets,"Prices across some carbon markets are expected to inch closer together in 2024, as newer programs break records and more mature schemes cool. Looming net-zero targets are pushing regulators to tighten supply and include more sectors. Meanwhile, the gap between compliance and voluntary markets continues to narrow, as recently established compliance programs appear more lenient on the inclusion of carbon offsets.",BNEF-Global-Carbon-Market-Outlook.pdf,2024-02-24
BloombergNEF,contributing,,bnef-logo.png,All but one G-20 member has a planned or operational carbon price,"BNEF assesses the G-20 members' performance on carbon pricing, fossil-fuel support and climate-risk policy.",BNEF-Climate-Policy-Factbook-COP28.pdf,2024-05-01
BloombergNEF,contributing,,bnef-logo.png,High-quality carbon offsets can unlock $1 trillion future,"As carbon offsetting grapples with an integrity problem, universal standards that spur a shift to only high-quality credits could see the market's valuation top $1 trillion by 2050, based on BloombergNEF's latest Long-Term Carbon Offsets Outlook.",High-Quality-Carbon-Offsets-Future.pdf,2024-03-11
BloombergNEF,contributing,,bnef-logo.png,Carbon's coming clash: Article 6.4 and the offset market,How the voluntary carbon market could be affected by the new global trading mechanism known as Article 6.4.,Article6.pdf,2023-08-02
BloombergNEF,contributing,,bnef-logo.png,Sustainable agriculture: the new green revolution,How carbon-smart farming is one of the five pillars of a sustainable agricultural system,Introduction-to-BNEF-Sustinable-Agriculture.pdf,2022-09-20
BloombergNEF,contributing,,bnef-logo.png,Taiwan's new carbon market could take a cue from Singapore,Taiwan is joining the pack of Asian economies looking to use carbon markets to springboard their net-zero aspirations.,Taiwans-New-Carbon-Market-Could-Take-a-Cue-From-Singapore.pdf,2024-05-21
BNP Paribas,supporting,,BNP-Paribas.png,,,,2022-11-03
East Ventures,contributing,,EastVentures.png,Planting mangroves and embracing climate tech,Developing sustainable investment frameworks. ,EastVentures.pdf,2024-02-20
East Ventures,contributing,,EastVentures.png,Counting the economic consequences of a warming world,Mobilizing investment and stakeholders to limit future damage. ,EastVentures2.pdf,2024-02-20
East Ventures,contributing,,EastVentures.png,Emission Calculator and Visualization Southeast Asia,"East Ventures and The Indonesian Chamber of Commerce and Industry (Kadin), launched ECOVISEA, a free web-based global greenhouse gas calculator that helps companies to accurately measure, manage, and reduce their emissions, facilitating the transition to a low-carbon economy.",EastVentures3.pdf,2024-02-20
